countrycode,country,year,rgdpe,emp,hc,rkna
MEX,"Mexico",1952,140802.4375,7.99877643585205,1.5320737361908,415804.15625
MEX,"Mexico",1953,137124.09375,8.09129047393799,1.53264331817627,425075.15625
MEX,"Mexico",1954,152404.46875,8.18487453460693,1.53321325778961,437209.03125
MEX,"Mexico",1955,165087.265625,8.28229141235352,1.53378331661224,452276.09375
MEX,"Mexico",1956,176264.921875,8.39959049224854,1.54237365722656,474290.3125
MEX,"Mexico",1957,189038.859375,8.51855182647705,1.55101203918457,498232.6875
MEX,"Mexico",1958,198022.484375,8.63919830322266,1.55969893932343,518175.0625
MEX,"Mexico",1959,203902.703125,8.76155090332031,1.56843435764313,537425.625
MEX,"Mexico",1960,218379.96875,8.89005470275879,1.57721865177155,560771.3125
MEX,"Mexico",1961,224976.71875,9.13500308990479,1.59282803535461,585142.5
MEX,"Mexico",1962,234058.484375,9.38670063018799,1.60859179496765,608213.125
MEX,"Mexico",1963,256234.234375,9.6453332901001,1.62451148033142,638167.6875
MEX,"Mexico",1964,290518.4375,9.91109275817871,1.64058887958527,677661.8125
MEX,"Mexico",1965,306535.15625,10.2031726837158,1.65682518482208,723346.25
MEX,"Mexico",1966,326170.4375,10.5181608200073,1.6732223033905,772960.125
MEX,"Mexico",1967,342741.53125,10.8428745269775,1.68978178501129,823589.625
MEX,"Mexico",1968,372096.21875,11.1776113510132,1.70650506019592,884782.125
MEX,"Mexico",1969,386508.15625,11.5226812362671,1.71987664699554,935917.5
MEX,"Mexico",1970,410401.375,11.9061708450317,1.73269045352936,990516.4375
MEX,"Mexico",1971,429508.15625,12.568229675293,1.75052082538605,1041693.375
MEX,"Mexico",1972,465683.78125,13.2957763671875,1.76853466033936,1102233.125
MEX,"Mexico",1973,504218.46875,14.0739908218384,1.78673386573792,1175536.25
MEX,"Mexico",1974,537012.6875,14.8969831466675,1.80512034893036,1255158.125
MEX,"Mexico",1975,567345.8125,15.8719263076782,1.82369601726532,1343237
MEX,"Mexico",1976,599133.3125,16.5994911193848,1.84246277809143,1428438.875
MEX,"Mexico",1977,620620.1875,17.3499526977539,1.8614227771759,1501485.25
MEX,"Mexico",1978,678617.5625,18.2233543395996,1.88057780265808,1592280
MEX,"Mexico",1979,751638.625,19.3658447265625,1.89993000030518,1709751.875
MEX,"Mexico",1980,841534.0625,20.6231136322021,1.91948139667511,1850088.625
MEX,"Mexico",1981,910000.4375,21.3152637481689,1.94414365291595,2016636.125
MEX,"Mexico",1982,901469.5625,22.0087795257568,1.969123005867,2131832.25
MEX,"Mexico",1983,849505.0625,22.0574893951416,1.99442315101624,2186625.25
MEX,"Mexico",1984,862310.0625,22.9449634552002,2.02004837989807,2251734
MEX,"Mexico",1985,868862.5,24.0432510375977,2.04600286483765,2328147
MEX,"Mexico",1986,808745.375,24.7885417938232,2.07229089736938,2383035.75
MEX,"Mexico",1987,826036.8125,25.6410465240479,2.09891653060913,2436991.5
MEX,"Mexico",1988,809091,26.5365200042725,2.12588429450989,2498620
MEX,"Mexico",1989,837009.875,27.5528984069824,2.15319871902466,2568261.5
MEX,"Mexico",1990,882730.3125,28.5779609680176,2.18086385726929,2657603.75
MEX,"Mexico",1991,914603.125,29.5342578887939,2.20346689224243,2763201.75
