"","country","year","rgdpe","rgdpo","pop","emp","hc","ccon","cda","cgdpe","cgdpo","rgdpna","rkna","labsh","delta","csh_c","csh_i","csh_g","csh_x","csh_m","csh_r"
"81","Republic of Korea",1968,52646.68359375,53210.01953125,30.0691200514455,8.8350830078125,1.89906668663025,44324.52734375,61774.53515625,54716.28125,56944.46484375,66173.859375,92594.1171875,0.712088704109192,0.047160979360342,0.632945895195007,0.30643904209137,0.145435780286789,0.0666486993432045,-0.143447011709213,-0.00802235770970583
"82","Republic of Korea",1969,60404.26171875,60498.30078125,30.7575187072838,9.05349826812744,1.9374692440033,51964.51171875,70429.3046875,62746.35546875,64851.20703125,75654.765625,109455.09375,0.712088704109192,0.0493321344256401,0.661147952079773,0.284725487232208,0.140140369534492,0.0785744935274124,-0.156331449747086,-0.00825679954141378
"83","Republic of Korea",1970,66017.671875,65631.234375,31.437141,9.37722110748291,1.97664833068848,57146.69921875,75462.7578125,68581.9765625,70481.09375,82019.3203125,124233.265625,0.712088704109192,0.0470085814595222,0.672064542770386,0.259871900081635,0.138744324445724,0.0866147726774216,-0.153860628604889,-0.00343495025299489
"84","Republic of Korea",1971,76885.7421875,76969.96875,32.087884,9.70550441741943,2.01497268676758,66372.5859375,88712.71875,79805.421875,82720.78125,90594.1875,139459.609375,0.707184851169586,0.0493272878229618,0.663997828960419,0.270066797733307,0.138371169567108,0.0904058516025543,-0.154744416475296,-0.00809716619551182
"85","Republic of Korea",1972,88108.140625,87210.28125,32.759447,10.1480464935303,2.05404019355774,74936.625,95375.4765625,91198.5546875,93660.2265625,97072.3203125,154356.265625,0.687728643417358,0.051404282450676,0.656402289867401,0.218223378062248,0.143687829375267,0.112931333482265,-0.133944466710091,0.002699657343328
"86","Republic of Korea",1973,107797.3515625,106989.875,33.435268,10.7372026443481,2.09386515617371,86100.2421875,114803.578125,111037.546875,114156.2578125,111465.7734375,174169.921875,0.704358577728271,0.0552411936223507,0.624786853790283,0.25143900513649,0.129444599151611,0.144652917981148,-0.153878286480904,0.0035549106542021
"87","Republic of Korea",1974,122441.3125,127777.1484375,34.091816,11.2234125137329,2.13446235656738,100030.3203125,141194.671875,127343.46875,135322.796875,122011.40625,196872.8125,0.677972555160522,0.0572315417230129,0.611524224281311,0.304193764925003,0.127673611044884,0.140090629458427,-0.185639590024948,0.00215738778933883
"88","Republic of Korea",1975,139583.84375,146048.75,34.713078,11.5028085708618,2.17584657669067,115390.8359375,159258.75,146159.484375,155316.203125,131605.796875,221349.75,0.677993535995483,0.0577277131378651,0.610888123512268,0.282442599534988,0.132053256034851,0.145128786563873,-0.167752251029015,-0.00276056420989335
"89","Republic of Korea",1976,159267.4375,160227.3125,35.290737,12.2149648666382,2.21803307533264,118730.2578125,170046.21875,165873.265625,170108.3125,148866.09375,253588.578125,0.663474321365356,0.0577015392482281,0.57973438501358,0.301666408777237,0.118234194815159,0.183353781700134,-0.18616646528244,0.00317764235660434
"90","Republic of Korea",1977,175053.484375,174277.890625,35.832213,12.5996904373169,2.26103758811951,121938.7421875,185891.25,181941.0625,184480.359375,167143.375,297640,0.672620952129364,0.0588762126863003,0.546396851539612,0.346662968397141,0.114588089287281,0.203104436397552,-0.207917630672455,-0.00283472752198577
"91","Republic of Korea",1978,192629.671875,191396.546875,36.356187,13.1718616485596,2.30487585067749,127127.3984375,207655.046875,199927.390625,201817.765625,185152.21875,358220.875,0.668518662452698,0.0604387223720551,0.521672904491425,0.399011671543121,0.10823892056942,0.209981143474579,-0.243616312742233,0.00471164658665657
"92","Republic of Korea",1979,201371.6875,201046.109375,36.889651,13.3684940338135,2.34956431388855,133619.953125,224238.578125,208291.625,210759.265625,201122.78125,420822,0.627196431159973,0.0606373138725758,0.526338398456573,0.429962694644928,0.107654832303524,0.213573798537254,-0.275453299283981,-0.00207642116583884
